dataset,raw_index,algorithm_raw,algo_row,input_kind,variant,status,runtime_ms,before_nodes,before_params,after_nodes,after_params,egraph_total_size,passes,extracted_cost,peak_rss_mb,rendered
kotanchek,0,Bingo,1,original,baseline,saturated,357.83899994567037,38.0,4.0,32.0,5.0,4184.0,2.0,32.0,119.421875,-0.020073090501122322 * (x0 + x1 + -5.5120891698213805) + 0.713072197849276 * ((0.022522799045566234 + x0 * x0) * (x0 * x0 + 0.5 * (x1 ** (-1.0) * exp(x0 * x0))) ** (-1.0))
kotanchek,0,Bingo,1,sympy,baseline,saturated,670.6125841010362,45.0,5.0,43.0,4.0,6926.0,2.0,43.0,133.203125,((exp(x0 ** 2.0) - -2.0 * (x1 * x0 ** 2.0)) * (0.020073090501122322 * (5.5120891698213805 - x0 - x1)) - -1.42614439569855 * ((x0 ** 2.0 - -0.022522799045566234) * x1)) / (exp(x0 ** 2.0) - -2.0 * (x1 * x0 ** 2.0))
kotanchek,2,Bingo,2,original,baseline,saturated,56.50850001256913,53.0,11.0,25.0,5.0,206.0,2.0,25.0,105.515625,0.12833632981483378 * ((x0 + 0.5717467226489543 * log(abs(-1.4718669975763585 + -14.792753236262874 * x1 + exp(x1)))) * (exp(x0) - 2.0678277294438554 * x0) ** (-1.0))
kotanchek,2,Bingo,2,sympy,baseline,saturated,42.90508292615414,22.0,5.0,22.0,5.0,84.0,1.0,22.0,100.15625,(-0.12833632981483378 * x0 - 0.0733758759684265 * log(-14.792753236262874 * x1 + exp(x1) - 1.4718669975763585)) / (2.0678277294438554 * x0 - exp(x0))
kotanchek,3,Bingo,3,original,baseline,saturated,79.55620798747987,24.0,5.0,22.0,4.0,457.0,2.0,22.0,100.578125,-0.01768299095097286 + -0.799049025992938 * (x1 * (-4.734655034994491 + x1) + -0.3212108877413568) * exp(2.0 * x0) ** (-1.0) * (x0 * x0)
kotanchek,3,Bingo,3,sympy,baseline,saturated,37.60970802977681,25.0,4.0,25.0,4.0,109.0,1.0,25.0,105.078125,(x0 ** 2.0 * (-0.7990490259929379 * x1 * (x1 - 4.734655034994491) + 0.2566632469880581) - 0.01768299095097286 * exp(2.0 * x0)) * exp(-2.0 * x0)
kotanchek,4,Bingo,4,original,baseline,saturated,55.199041962623596,22.0,4.0,20.0,4.0,60.0,2.0,20.0,106.359375,-0.03144312866911644 * (-3.0969157782045578 + -31.196859437348742 * (x0 * (-0.044758903858526766 + exp(x0 * x0) ** (-1.0) * x0)) - x1)
kotanchek,4,Bingo,4,sympy,baseline,saturated,182.92116606608033,22.0,4.0,22.0,4.0,598.0,2.0,22.0,111.71875,0.03144312866911644 * x1 + 0.09737672129150278 + (0.980926865360896 * x0 ** 2.0 * exp(-1.0 * x0 ** 2.0) - 0.043905211258934373 * x0)
kotanchek,5,Bingo,5,original,baseline,saturated,64.45424992125481,28.0,7.0,24.0,5.0,195.0,2.0,24.0,104.671875,-0.00021014784984354508 + 1.275565309954333e-05 * (0.0929803245489893 + x1 * (4.739077949578231 - x1)) * (x0 + 3321.465346573016 * exp(2.0 * x0 - x0 * x0))
kotanchek,5,Bingo,5,sympy,baseline,saturated,436.2278749467805,40.0,6.0,36.0,5.0,4063.0,2.0,36.0,119.625,(-1.275565309954333e-05 * ((x1 - 4.739077949578231) * x1 - 0.092980324549141) * (exp(x0 * (x0 - 2.0)) * x0 - -3321.465346573016) - 0.00021014784984354508 * exp(x0 * (x0 - 2.0))) * exp(x0 * (2.0 - x0))
